,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Rating
0,221900.0,3.0,2.0,1180.0,5650,1.0,0,0,3.0,7.0,1180,0,1955,0,98178,47.5112,122.257,1340,5650.0,Excellent
1,538000.0,3.0,2.0,2570.0,7242,2.0,0,0,3.0,7.0,2170,400,1951,0,98125,47.721,122.319,1690,7639.0,Excellent
2,180000.0,2.0,2.0,770.0,10000,1.0,0,0,3.0,6.0,770,0,1933,0,98028,47.7379,122.233,2720,8062.0,Good
3,604000.0,4.0,2.0,1960.0,5000,1.0,0,0,5.0,7.0,1050,910,1965,0,98136,47.5208,122.393,1360,5000.0,Excellent
4,510000.0,3.0,2.0,1680.0,8080,1.0,0,0,3.0,8.0,1680,0,1987,0,98074,47.6168,122.045,1800,7503.0,Excellent
5,1129575.0,4.0,2.0,4234.5,19160,1.0,0,0,3.0,9.5,3740,1400,2001,0,98053,47.6561,122.005,3665,17557.5,Excellent
6,257500.0,3.0,2.0,1715.0,6819,2.0,0,0,3.0,7.0,1715,0,1995,0,98003,47.3097,122.327,2238,6819.0,Excellent
7,291850.0,3.0,2.0,1060.0,9711,1.0,0,0,3.0,7.0,1060,0,1963,0,98198,47.4095,122.315,1650,9711.0,Excellent
8,229500.0,3.0,2.0,1780.0,7470,1.0,0,0,3.0,7.0,1050,730,1960,0,98146,47.5123,122.337,1780,8113.0,Excellent
9,323000.0,3.0,2.0,1890.0,6560,2.0,0,0,3.0,7.0,1890,0,2003,0,98038,47.3684,122.031,2390,7570.0,Excellent
10,662500.0,3.0,2.0,3560.0,9796,1.0,0,0,3.0,8.0,1860,1400,1965,0,98007,47.6007,122.145,2210,8925.0,Excellent
11,468000.0,2.0,2.0,1160.0,6000,1.0,0,0,4.0,7.0,860,300,1942,0,98115,47.69,122.292,1330,6000.0,Excellent
12,310000.0,3.0,2.0,1430.0,19160,1.5,0,0,4.0,7.0,1430,0,1927,0,98028,47.7558,122.229,1780,12697.0,Excellent
13,400000.0,3.0,2.0,1370.0,9680,1.0,0,0,4.0,7.0,1370,0,1977,0,98074,47.6127,122.045,1370,10208.0,Excellent
14,530000.0,5.0,2.0,1810.0,4850,1.5,0,0,3.0,7.0,1810,0,1900,0,98107,47.67,122.394,1360,4850.0,Excellent
15,650000.0,4.0,2.0,2950.0,5000,2.0,0,0,3.0,9.0,1980,970,1979,0,98126,47.5714,122.375,2140,4000.0,Excellent
16,395000.0,3.0,2.0,1890.0,14040,2.0,0,0,3.0,7.0,1890,0,1994,0,98019,47.7277,121.962,1890,14018.0,Excellent
17,485000.0,4.0,2.0,1600.0,4300,1.5,0,0,4.0,7.0,1600,0,1916,0,98103,47.6648,122.343,1610,4300.0,Excellent
18,189000.0,2.0,2.0,1200.0,9850,1.0,0,0,4.0,7.0,1200,0,1921,0,98002,47.3089,122.21,1060,5095.0,Excellent
19,230000.0,3.0,2.0,1250.0,9774,1.0,0,0,4.0,7.0,1250,0,1969,0,98003,47.3343,122.306,1280,8850.0,Excellent
20,385000.0,4.0,2.0,1620.0,4980,1.0,0,0,4.0,7.0,860,760,1947,0,98133,47.7025,122.341,1400,4980.0,Excellent
